"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance"
"""217046_s_at""",-3.46291866666666,8.73317433333333,-20.1877271213811,2.04937639714622e-40,6.23000446332404e-36,81.125865891688,"Significant"
"""215918_s_at""",-2.5091,7.4489615,-20.1646894114192,2.27892252887939e-40,6.23000446332404e-36,81.0223008618663,"Significant"
"""202524_s_at""",-2.47131366666667,9.61257683333333,-19.1170533293202,3.05596633247474e-38,5.56949864093521e-34,76.2385924655989,"Significant"
"""230469_at""",-3.4138185,5.94067975,-18.4781766715824,6.48780718839242e-37,8.86802145063389e-33,73.2499417570057,"Significant"
"""228540_at""",-1.21880166666667,7.51818866666667,-18.4083505765786,9.08841791227345e-37,9.93818498707102e-33,72.9200152295804,"Significant"
"""239650_at""",-3.105129,5.725652,-18.1678775125679,2.91534719685672e-36,2.65661013313569e-32,71.7788461912984,"Significant"
"""1557729_at""",-1.770033,7.0629145,-17.9687728430024,7.69507117782688e-36,6.01040023782407e-32,70.8282066926102,"Significant"
"""206208_at""",-2.5027335,8.35137908333333,-17.852517845059,1.35937454580808e-35,9.29047541150708e-32,70.2707209566364,"Significant"
"""206209_s_at""",-3.86942116666667,8.00884608333333,-17.5249524402568,6.81749611932047e-35,4.14162889248719e-31,68.6903672959796,"Significant"
"""217771_at""",2.06918166666666,8.93435866666667,17.3926826892051,1.31236210791795e-34,7.17533982504138e-31,68.0482425027529,"Significant"
"""229893_at""",-1.8765855,7.09923575,-17.3392030741191,1.71129199487029e-34,8.505899074503e-31,67.7879689127707,"Significant"
"""207302_at""",-2.08049316666667,6.52517491666667,-17.2788375834535,2.31005620316016e-34,1.05251935756485e-30,67.4937357517644,"Significant"
"""205941_s_at""",3.798228,8.15951616666667,17.225369071188,3.01438355832016e-34,1.26778016193196e-30,67.2327240341379,"Significant"
"""213715_s_at""",-2.01435583333333,7.65522575,-17.1537445695971,4.30786283953003e-34,1.68237429108074e-30,66.8825004842993,"Significant"
"""204396_s_at""",-2.52072516666667,9.38335941666667,-16.7725982952609,2.91112856527497e-33,1.06110636204273e-29,65.0076582208347,"Significant"
"""229641_at""",-2.33121866666667,8.044039,-16.6196768396677,6.29751894864338e-33,2.15198030323173e-29,64.2502062426182,"Significant"
"""209470_s_at""",-4.19842516666667,7.77425175,-16.5102328571962,1.09587937151308e-32,3.52454144926338e-29,63.7062809882276,"Significant"
"""210081_at""",-4.397615,9.962941,-16.2657186441231,3.79804470867202e-32,1.15365608025913e-28,62.4856073958409,"Significant"
"""231991_at""",-1.7766025,7.75957758333333,-16.1739854752739,6.06566808711693e-32,1.7454758034901e-28,62.0257204466712,"Significant"
"""205637_s_at""",-1.59067166666667,6.853925,-16.1302887816913,7.58371686958659e-32,2.07319859922323e-28,61.8062869225057,"Significant"
